,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
run-1,1.0,0.995,0.983,0.958,0.939,0.899,0.85,0.808,0.754,0.692,0.641,0.571,0.516,0.454,0.391,0.33,0.273,0.206,0.166,0.122,0.082,0.055,0.029,0.004,0.003,0.0,0.013,0.024,0.049,0.075,0.124,0.162,0.217,0.267,0.327,0.386,0.451,0.512,0.573,0.639,0.699,0.754,0.81,0.867,0.899,0.937,0.961,0.981,0.999,0.999
run-2,1.0,0.995,0.987,0.965,0.941,0.892,0.864,0.82,0.764,0.7,0.636,0.573,0.534,0.455,0.391,0.323,0.27,0.209,0.167,0.125,0.083,0.051,0.026,0.016,0.002,0.005,0.011,0.026,0.059,0.08,0.118,0.16,0.218,0.268,0.336,0.394,0.458,0.509,0.577,0.644,0.711,0.763,0.811,0.855,0.9,0.935,0.961,0.985,0.994,1.0
run-3,1.0,0.997,0.981,0.959,0.935,0.905,0.859,0.807,0.768,0.703,0.641,0.579,0.505,0.451,0.393,0.34,0.268,0.22,0.164,0.116,0.085,0.051,0.026,0.012,0.0,0.007,0.003,0.026,0.043,0.078,0.123,0.168,0.197,0.264,0.328,0.387,0.449,0.522,0.587,0.646,0.704,0.763,0.807,0.857,0.891,0.937,0.964,0.983,0.994,1.0
run-4,1.0,0.994,0.983,0.961,0.936,0.902,0.862,0.809,0.759,0.705,0.644,0.585,0.518,0.464,0.38,0.325,0.256,0.21,0.165,0.115,0.077,0.055,0.028,0.017,0.0,0.008,0.009,0.021,0.047,0.083,0.121,0.167,0.215,0.267,0.33,0.389,0.444,0.527,0.581,0.643,0.693,0.764,0.811,0.862,0.901,0.936,0.961,0.986,0.994,0.998
run-5,1.0,0.994,0.986,0.959,0.934,0.903,0.865,0.817,0.751,0.706,0.643,0.578,0.504,0.448,0.387,0.32,0.27,0.214,0.163,0.119,0.088,0.047,0.031,0.01,0.0,0.0,0.012,0.02,0.042,0.078,0.128,0.162,0.21,0.275,0.339,0.394,0.449,0.516,0.578,0.636,0.705,0.743,0.816,0.858,0.903,0.935,0.96,0.979,0.996,1.0
run-6,1.0,0.996,0.981,0.964,0.932,0.902,0.861,0.817,0.751,0.706,0.652,0.566,0.518,0.455,0.388,0.314,0.265,0.213,0.162,0.117,0.089,0.053,0.027,0.01,0.005,0.007,0.007,0.022,0.047,0.087,0.12,0.165,0.218,0.269,0.333,0.386,0.457,0.514,0.578,0.647,0.699,0.753,0.81,0.855,0.905,0.93,0.962,0.985,0.997,0.998
run-7,0.998,0.997,0.982,0.969,0.938,0.9,0.854,0.804,0.751,0.698,0.636,0.589,0.513,0.446,0.382,0.322,0.264,0.21,0.168,0.118,0.082,0.053,0.034,0.006,0.0,0.008,0.007,0.028,0.05,0.082,0.123,0.162,0.218,0.276,0.323,0.392,0.451,0.52,0.582,0.647,0.706,0.764,0.813,0.857,0.897,0.935,0.959,0.983,0.994,0.998
run-8,1.0,0.997,0.984,0.963,0.936,0.9,0.865,0.811,0.759,0.696,0.65,0.58,0.516,0.451,0.398,0.325,0.272,0.207,0.168,0.117,0.08,0.059,0.02,0.015,0.0,0.004,0.011,0.026,0.05,0.079,0.119,0.161,0.213,0.274,0.327,0.389,0.458,0.507,0.569,0.647,0.702,0.767,0.806,0.853,0.902,0.941,0.965,0.984,0.995,0.996
run-9,1.0,0.997,0.982,0.966,0.936,0.9,0.847,0.815,0.755,0.698,0.63,0.574,0.511,0.452,0.39,0.33,0.271,0.211,0.155,0.123,0.077,0.05,0.026,0.011,0.004,0.0,0.006,0.029,0.043,0.076,0.125,0.165,0.214,0.274,0.326,0.393,0.456,0.514,0.564,0.65,0.694,0.763,0.808,0.859,0.903,0.936,0.966,0.985,0.997,1.0
run-10,1.0,1.0,0.984,0.969,0.943,0.902,0.861,0.813,0.76,0.703,0.642,0.565,0.517,0.447,0.387,0.329,0.268,0.215,0.167,0.121,0.074,0.045,0.023,0.009,0.003,0.0,0.017,0.024,0.046,0.078,0.123,0.156,0.219,0.265,0.325,0.388,0.449,0.51,0.579,0.645,0.695,0.76,0.814,0.863,0.897,0.936,0.965,0.985,0.996,1.0
