,,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
ZERO,run-1,1.0,1.0,0.996,0.99,0.985,0.972,0.964,0.946,0.934,0.915,0.899,0.879,0.862,0.847,0.825,0.808,0.788,0.773,0.753,0.742,0.742,0.725,0.722,0.719,0.714,0.712,0.719,0.716,0.726,0.732,0.748,0.769,0.776,0.798,0.814,0.82,0.846,0.862,0.88,0.901,0.917,0.928,0.948,0.962,0.969,0.984,0.99,0.996,1.0,1.0
ZERO,run-2,1.0,0.998,0.996,0.993,0.978,0.975,0.961,0.945,0.935,0.914,0.903,0.873,0.857,0.842,0.828,0.795,0.79,0.77,0.756,0.753,0.728,0.728,0.715,0.713,0.713,0.706,0.711,0.719,0.721,0.729,0.738,0.76,0.771,0.791,0.804,0.831,0.847,0.858,0.872,0.898,0.914,0.93,0.949,0.961,0.975,0.983,0.993,0.996,1.0,0.999
ZERO,run-3,1.0,1.0,0.995,0.992,0.984,0.973,0.964,0.943,0.93,0.915,0.895,0.884,0.853,0.846,0.82,0.804,0.785,0.769,0.753,0.74,0.734,0.718,0.718,0.713,0.721,0.711,0.714,0.728,0.732,0.746,0.746,0.765,0.781,0.791,0.805,0.825,0.839,0.858,0.886,0.896,0.915,0.932,0.949,0.96,0.969,0.982,0.993,0.997,1.0,1.0
ZERO,run-4,1.0,0.999,0.994,0.989,0.982,0.974,0.959,0.951,0.929,0.909,0.894,0.88,0.862,0.837,0.821,0.803,0.796,0.779,0.764,0.735,0.733,0.723,0.724,0.706,0.72,0.716,0.712,0.714,0.73,0.732,0.748,0.76,0.776,0.794,0.806,0.827,0.846,0.856,0.884,0.897,0.914,0.93,0.942,0.963,0.972,0.977,0.993,0.997,0.998,1.0
ZERO,run-5,1.0,0.999,0.997,0.995,0.982,0.971,0.962,0.947,0.93,0.912,0.895,0.877,0.863,0.835,0.829,0.808,0.794,0.777,0.757,0.753,0.727,0.725,0.729,0.708,0.715,0.705,0.718,0.721,0.731,0.728,0.75,0.77,0.772,0.792,0.811,0.828,0.844,0.861,0.879,0.902,0.92,0.941,0.947,0.966,0.973,0.984,0.991,0.997,1.0,1.0
ZERO,run-6,1.0,0.998,0.994,0.99,0.981,0.971,0.958,0.946,0.93,0.914,0.896,0.878,0.862,0.836,0.814,0.805,0.798,0.777,0.77,0.743,0.737,0.727,0.729,0.72,0.717,0.713,0.714,0.718,0.729,0.728,0.753,0.76,0.78,0.788,0.803,0.833,0.849,0.866,0.88,0.896,0.91,0.931,0.949,0.956,0.974,0.984,0.991,0.997,1.0,1.0
ZERO,run-7,1.0,0.998,0.994,0.988,0.982,0.967,0.962,0.945,0.929,0.91,0.901,0.87,0.858,0.841,0.82,0.801,0.784,0.774,0.753,0.746,0.737,0.734,0.716,0.71,0.722,0.726,0.708,0.727,0.731,0.741,0.752,0.76,0.778,0.791,0.812,0.821,0.84,0.858,0.88,0.898,0.91,0.932,0.938,0.962,0.971,0.983,0.989,0.992,0.998,1.0
ZERO,run-8,1.0,0.999,0.995,0.988,0.981,0.969,0.955,0.944,0.926,0.91,0.896,0.883,0.86,0.848,0.831,0.803,0.78,0.771,0.758,0.748,0.729,0.719,0.726,0.719,0.71,0.72,0.716,0.725,0.722,0.738,0.755,0.76,0.774,0.788,0.816,0.826,0.839,0.862,0.882,0.899,0.91,0.93,0.951,0.963,0.971,0.981,0.988,0.995,0.998,1.0
ZERO,run-9,1.0,1.0,0.997,0.99,0.984,0.968,0.958,0.946,0.929,0.908,0.891,0.879,0.859,0.847,0.827,0.804,0.788,0.768,0.752,0.75,0.73,0.722,0.721,0.71,0.713,0.71,0.716,0.726,0.732,0.74,0.748,0.757,0.77,0.79,0.802,0.831,0.838,0.858,0.881,0.9,0.912,0.933,0.948,0.962,0.971,0.986,0.992,0.996,1.0,1.0
ZERO,run-10,1.0,1.0,0.997,0.989,0.981,0.972,0.96,0.947,0.928,0.915,0.9,0.877,0.868,0.832,0.825,0.804,0.786,0.777,0.753,0.749,0.736,0.731,0.718,0.712,0.716,0.711,0.721,0.712,0.725,0.736,0.747,0.757,0.775,0.787,0.802,0.826,0.842,0.858,0.879,0.907,0.914,0.936,0.95,0.965,0.975,0.983,0.992,0.998,0.999,1.0
