,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
run-1,1.0,1.0,0.986,0.967,0.95,0.906,0.867,0.82,0.766,0.725,0.654,0.595,0.525,0.467,0.413,0.343,0.28,0.233,0.168,0.128,0.09,0.053,0.028,0.011,0.008,0.0,0.017,0.028,0.056,0.079,0.12,0.157,0.209,0.266,0.327,0.389,0.453,0.52,0.578,0.633,0.702,0.748,0.806,0.86,0.898,0.936,0.97,0.988,0.998,1.0
run-2,1.0,1.0,0.988,0.969,0.937,0.913,0.868,0.822,0.775,0.719,0.643,0.593,0.526,0.46,0.394,0.346,0.27,0.214,0.176,0.128,0.084,0.057,0.032,0.013,0.001,0.006,0.011,0.023,0.045,0.085,0.121,0.162,0.208,0.257,0.33,0.376,0.438,0.507,0.575,0.63,0.694,0.754,0.811,0.863,0.905,0.932,0.963,0.985,0.998,1.0
run-3,1.0,1.0,0.989,0.971,0.943,0.91,0.87,0.831,0.773,0.713,0.65,0.588,0.524,0.463,0.391,0.338,0.278,0.223,0.176,0.121,0.082,0.053,0.033,0.012,0.0,0.004,0.011,0.028,0.045,0.082,0.121,0.163,0.216,0.276,0.315,0.379,0.452,0.512,0.574,0.641,0.7,0.758,0.813,0.859,0.899,0.937,0.966,0.982,0.995,1.0
run-4,1.0,0.999,0.985,0.971,0.944,0.912,0.867,0.82,0.773,0.716,0.643,0.594,0.526,0.456,0.397,0.341,0.278,0.215,0.167,0.119,0.089,0.061,0.028,0.017,0.004,0.003,0.004,0.028,0.055,0.083,0.117,0.168,0.203,0.274,0.324,0.379,0.446,0.514,0.578,0.648,0.694,0.755,0.81,0.862,0.903,0.937,0.966,0.986,0.999,1.0
run-5,1.0,1.0,0.988,0.968,0.938,0.907,0.864,0.819,0.768,0.721,0.647,0.59,0.524,0.456,0.405,0.333,0.267,0.221,0.165,0.133,0.093,0.056,0.033,0.013,0.006,0.008,0.011,0.028,0.058,0.081,0.124,0.164,0.216,0.265,0.326,0.385,0.442,0.502,0.577,0.639,0.706,0.75,0.812,0.858,0.902,0.938,0.966,0.986,0.998,1.0
run-6,1.0,0.996,0.993,0.969,0.941,0.908,0.865,0.822,0.772,0.709,0.644,0.591,0.539,0.458,0.405,0.344,0.276,0.229,0.175,0.122,0.085,0.05,0.034,0.012,0.01,0.007,0.02,0.027,0.046,0.086,0.119,0.171,0.215,0.266,0.333,0.382,0.444,0.515,0.581,0.635,0.692,0.762,0.809,0.854,0.899,0.936,0.96,0.983,1.0,1.0
run-7,1.0,1.0,0.991,0.972,0.941,0.906,0.873,0.816,0.768,0.709,0.665,0.588,0.531,0.465,0.399,0.338,0.281,0.226,0.173,0.13,0.082,0.06,0.032,0.017,0.007,0.004,0.013,0.024,0.051,0.086,0.114,0.156,0.213,0.26,0.323,0.394,0.445,0.522,0.573,0.641,0.706,0.755,0.803,0.862,0.898,0.935,0.967,0.989,0.999,1.0
run-8,1.0,1.0,0.988,0.973,0.944,0.91,0.864,0.82,0.77,0.716,0.651,0.603,0.525,0.46,0.412,0.339,0.271,0.227,0.167,0.125,0.089,0.057,0.035,0.015,0.005,0.012,0.013,0.03,0.054,0.084,0.119,0.159,0.21,0.276,0.319,0.387,0.436,0.51,0.569,0.645,0.708,0.761,0.809,0.858,0.901,0.937,0.963,0.983,0.997,1.0
run-9,1.0,1.0,0.986,0.964,0.941,0.904,0.869,0.82,0.765,0.697,0.646,0.59,0.541,0.457,0.391,0.328,0.287,0.229,0.165,0.13,0.085,0.06,0.025,0.016,0.006,0.005,0.013,0.024,0.053,0.076,0.122,0.166,0.214,0.275,0.316,0.398,0.451,0.512,0.58,0.64,0.69,0.753,0.809,0.847,0.901,0.939,0.962,0.986,0.999,1.0
run-10,1.0,1.0,0.99,0.965,0.94,0.909,0.864,0.822,0.763,0.707,0.657,0.589,0.518,0.461,0.396,0.34,0.279,0.22,0.176,0.128,0.079,0.061,0.029,0.013,0.008,0.005,0.007,0.029,0.051,0.084,0.122,0.164,0.205,0.264,0.336,0.385,0.449,0.51,0.574,0.646,0.699,0.767,0.807,0.86,0.899,0.93,0.967,0.985,1.0,1.0
