,,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
ZERO,mean,1.0,0.9995,0.9884000000000001,0.9689,0.9418999999999998,0.9085000000000001,0.8671000000000001,0.8211999999999999,0.7693000000000001,0.7132,0.65,0.5921,0.5279,0.46030000000000004,0.4003,0.33899999999999997,0.2767,0.22370000000000007,0.1708,0.1264,0.08579999999999997,0.0568,0.030900000000000004,0.013900000000000001,0.0055,0.005399999999999999,0.012,0.0269,0.0514,0.08259999999999998,0.11989999999999998,0.16299999999999998,0.2109,0.2679,0.32489999999999997,0.3854,0.44559999999999994,0.5123999999999999,0.5759,0.6397999999999999,0.6990999999999999,0.7563,0.8089000000000001,0.8582999999999998,0.9004999999999999,0.9357,0.9650000000000001,0.9852999999999998,0.9983000000000001,1.0
ZERO,error,0.0,0.0007999999999999674,0.001880000000000015,0.00232,0.0026799999999999715,0.002300000000000002,0.002320000000000022,0.0024399999999999977,0.003300000000000003,0.006200000000000006,0.005400000000000005,0.003320000000000001,0.005460000000000009,0.002960000000000007,0.006759999999999988,0.0038000000000000035,0.004560000000000003,0.005100000000000005,0.00439999999999999,0.003720000000000001,0.003559999999999991,0.003039999999999999,0.0027199999999999998,0.0018800000000000008,0.0024000000000000002,0.00228,0.0032,0.00194,0.0038000000000000013,0.0024800000000000043,0.0021200000000000025,0.0036000000000000086,0.0039000000000000007,0.005880000000000008,0.005500000000000005,0.005280000000000007,0.004600000000000004,0.004279999999999973,0.0029000000000000024,0.004440000000000022,0.005300000000000004,0.004559999999999997,0.0021399999999999865,0.003240000000000032,0.0019000000000000017,0.0020200000000000105,0.00239999999999998,0.0017000000000000014,0.001100000000000001,0.0
ONE,run-1,0.0,0.0,0.014,0.033,0.05,0.094,0.133,0.18,0.234,0.275,0.346,0.405,0.475,0.533,0.587,0.657,0.72,0.767,0.832,0.872,0.91,0.947,0.972,0.989,0.992,1.0,0.983,0.972,0.944,0.921,0.88,0.843,0.791,0.734,0.673,0.611,0.547,0.48,0.422,0.367,0.298,0.252,0.194,0.14,0.102,0.064,0.03,0.012,0.002,0.0
ONE,run-2,0.0,0.0,0.012,0.031,0.063,0.087,0.132,0.178,0.225,0.281,0.357,0.407,0.474,0.54,0.606,0.654,0.73,0.786,0.824,0.872,0.916,0.943,0.968,0.987,0.999,0.994,0.989,0.977,0.955,0.915,0.879,0.838,0.792,0.743,0.67,0.624,0.562,0.493,0.425,0.37,0.306,0.246,0.189,0.137,0.095,0.068,0.037,0.015,0.002,0.0
ONE,run-3,0.0,0.0,0.011,0.029,0.057,0.09,0.13,0.169,0.227,0.287,0.35,0.412,0.476,0.537,0.609,0.662,0.722,0.777,0.824,0.879,0.918,0.947,0.967,0.988,1.0,0.996,0.989,0.972,0.955,0.918,0.879,0.837,0.784,0.724,0.685,0.621,0.548,0.488,0.426,0.359,0.3,0.242,0.187,0.141,0.101,0.063,0.034,0.018,0.005,0.0
ONE,run-4,0.0,0.001,0.015,0.029,0.056,0.088,0.133,0.18,0.227,0.284,0.357,0.406,0.474,0.544,0.603,0.659,0.722,0.785,0.833,0.881,0.911,0.939,0.972,0.983,0.996,0.997,0.996,0.972,0.945,0.917,0.883,0.832,0.797,0.726,0.676,0.621,0.554,0.486,0.422,0.352,0.306,0.245,0.19,0.138,0.097,0.063,0.034,0.014,0.001,0.0
ONE,run-5,0.0,0.0,0.012,0.032,0.062,0.093,0.136,0.181,0.232,0.279,0.353,0.41,0.476,0.544,0.595,0.667,0.733,0.779,0.835,0.867,0.907,0.944,0.967,0.987,0.994,0.992,0.989,0.972,0.942,0.919,0.876,0.836,0.784,0.735,0.674,0.615,0.558,0.498,0.423,0.361,0.294,0.25,0.188,0.142,0.098,0.062,0.034,0.014,0.002,0.0
ONE,run-6,0.0,0.004,0.007,0.031,0.059,0.092,0.135,0.178,0.228,0.291,0.356,0.409,0.461,0.542,0.595,0.656,0.724,0.771,0.825,0.878,0.915,0.95,0.966,0.988,0.99,0.993,0.98,0.973,0.954,0.914,0.881,0.829,0.785,0.734,0.667,0.618,0.556,0.485,0.419,0.365,0.308,0.238,0.191,0.146,0.101,0.064,0.04,0.017,0.0,0.0
ONE,run-7,0.0,0.0,0.009,0.028,0.059,0.094,0.127,0.184,0.232,0.291,0.335,0.412,0.469,0.535,0.601,0.662,0.719,0.774,0.827,0.87,0.918,0.94,0.968,0.983,0.993,0.996,0.987,0.976,0.949,0.914,0.886,0.844,0.787,0.74,0.677,0.606,0.555,0.478,0.427,0.359,0.294,0.245,0.197,0.138,0.102,0.065,0.033,0.011,0.001,0.0
ONE,run-8,0.0,0.0,0.012,0.027,0.056,0.09,0.136,0.18,0.23,0.284,0.349,0.397,0.475,0.54,0.588,0.661,0.729,0.773,0.833,0.875,0.911,0.943,0.965,0.985,0.995,0.988,0.987,0.97,0.946,0.916,0.881,0.841,0.79,0.724,0.681,0.613,0.564,0.49,0.431,0.355,0.292,0.239,0.191,0.142,0.099,0.063,0.037,0.017,0.003,0.0
ONE,run-9,0.0,0.0,0.014,0.036,0.059,0.096,0.131,0.18,0.235,0.303,0.354,0.41,0.459,0.543,0.609,0.672,0.713,0.771,0.835,0.87,0.915,0.94,0.975,0.984,0.994,0.995,0.987,0.976,0.947,0.924,0.878,0.834,0.786,0.725,0.684,0.602,0.549,0.488,0.42,0.36,0.31,0.247,0.191,0.153,0.099,0.061,0.038,0.014,0.001,0.0
ONE,run-10,0.0,0.0,0.01,0.035,0.06,0.091,0.136,0.178,0.237,0.293,0.343,0.411,0.482,0.539,0.604,0.66,0.721,0.78,0.824,0.872,0.921,0.939,0.971,0.987,0.992,0.995,0.993,0.971,0.949,0.916,0.878,0.836,0.795,0.736,0.664,0.615,0.551,0.49,0.426,0.354,0.301,0.233,0.193,0.14,0.101,0.07,0.033,0.015,0.0,0.0
ONE,mean,0.0,0.0005,0.0116,0.031099999999999996,0.0581,0.09149999999999998,0.13290000000000002,0.1788,0.2307,0.2868,0.35,0.4079,0.4721,0.5397000000000001,0.5997,0.661,0.7233,0.7763,0.8291999999999999,0.8736,0.9141999999999999,0.9431999999999998,0.9691000000000001,0.9861000000000001,0.9945,0.9945999999999998,0.9880000000000001,0.9731,0.9485999999999999,0.9174,0.8801,0.837,0.7891,0.7320999999999999,0.6750999999999999,0.6146,0.5544,0.4875999999999999,0.4241,0.36019999999999996,0.3009,0.24369999999999997,0.19110000000000002,0.14170000000000002,0.09949999999999999,0.0643,0.034999999999999996,0.014700000000000001,0.0017000000000000001,0.0
ONE,error,0.0,0.0008,0.0018800000000000004,0.002319999999999999,0.0026799999999999984,0.002300000000000002,0.00232,0.0024400000000000003,0.0032999999999999974,0.0061999999999999885,0.005399999999999993,0.003319999999999984,0.005459999999999976,0.002959999999999996,0.0067599999999999995,0.0038000000000000035,0.00456000000000002,0.005100000000000005,0.004400000000000004,0.0037200000000000124,0.0035600000000000297,0.003039999999999976,0.0027200000000000223,0.0018799999999999817,0.0024000000000000132,0.0022800000000000376,0.0032000000000000028,0.0019399999999999973,0.0038000000000000035,0.0024799999999999935,0.0021199999999999995,0.0036000000000000034,0.0039000000000000033,0.005880000000000029,0.005500000000000005,0.005279999999999996,0.004599999999999993,0.004280000000000017,0.0029000000000000024,0.0044399999999999995,0.005300000000000004,0.004560000000000006,0.0021400000000000086,0.0032399999999999955,0.001899999999999999,0.0020199999999999997,0.002399999999999998,0.0016999999999999997,0.0010999999999999998,0.0
